arrival_time,src_ip,port,payload,latency_ms
2026-04-01 11:37:49.901,192.168.0.100,5004,video,22.831
2026-04-01 11:37:49.901,192.168.0.100,5004,video,33.072
2026-04-01 11:37:49.901,192.168.0.100,5004,video,24.392
2026-04-01 11:37:49.901,192.168.0.100,5004,video,25.506
2026-04-01 11:37:49.901,192.168.0.100,5004,video,25.456
2026-04-01 11:37:49.901,192.168.0.100,5004,video,23.958
2026-04-01 11:37:49.902,192.168.0.100,5006,audio,24.394
2026-04-01 11:37:49.902,192.168.0.100,5006,audio,24.549
2026-04-01 11:37:49.902,192.168.0.100,5006,audio,25.93
2026-04-01 11:37:49.902,192.168.0.100,5006,audio,24.855
2026-04-01 11:37:49.902,192.168.0.100,5006,audio,23.973
2026-04-01 11:37:49.902,192.168.0.100,5006,audio,26.648
2026-04-01 11:37:49.902,192.168.0.100,5006,audio,25.614
2026-04-01 11:37:49.902,192.168.0.100,5006,audio,25.973
2026-04-01 11:37:49.902,192.168.0.100,5006,audio,25.752
2026-04-01 11:37:49.902,192.168.0.100,5006,audio,23.414
2026-04-01 11:37:49.902,192.168.0.100,5006,audio,26.684
2026-04-01 11:37:49.902,192.168.0.100,5008,text,24.43
2026-04-01 11:37:49.902,192.168.0.100,5008,text,24.3
2026-04-01 11:37:49.902,192.168.0.100,5008,text,24.532
2026-04-01 11:37:49.902,192.168.0.100,5008,text,25.702
2026-04-01 11:37:49.902,192.168.0.100,5008,text,24.18
2026-04-01 11:37:49.902,192.168.0.100,5008,text,25.577
2026-04-01 11:37:49.902,192.168.0.100,5008,text,27.107
2026-04-01 11:37:49.902,192.168.0.100,5008,text,25.488
2026-04-01 11:37:49.902,192.168.0.100,5008,text,25.711
2026-04-01 11:37:49.902,192.168.0.100,5008,text,25.177
2026-04-01 11:37:49.902,192.168.0.100,5008,text,25.437
2026-04-01 11:37:49.902,192.168.0.100,5008,text,25.189
2026-04-01 11:37:49.902,192.168.0.100,5008,text,24.966
2026-04-01 11:37:49.902,192.168.0.100,5008,text,27.786
2026-04-01 11:37:49.902,192.168.0.100,5008,text,26.054
2026-04-01 11:37:49.902,192.168.0.100,5008,text,25.064
2026-04-01 11:37:49.902,192.168.0.100,5008,text,25.422
2026-04-01 11:37:49.902,192.168.0.100,5008,text,24.358
2026-04-01 11:37:49.902,192.168.0.100,5008,text,26.124
2026-04-01 11:37:49.903,192.168.0.100,5008,text,25.611
2026-04-01 11:37:49.903,192.168.0.100,5008,text,24.673
2026-04-01 11:37:49.903,192.168.0.100,5008,text,24.692
2026-04-01 11:37:49.906,192.168.0.100,5006,audio,24.648
2026-04-01 11:37:49.908,192.168.0.100,5008,text,24.792
2026-04-01 11:37:49.914,192.168.0.100,5008,text,25.21
2026-04-01 11:37:49.916,192.168.0.100,5004,video,26.898
2026-04-01 11:37:49.916,192.168.0.100,5006,audio,25.812
2026-04-01 11:37:49.919,192.168.0.100,5008,text,25.472
2026-04-01 11:37:49.925,192.168.0.100,5008,text,25.327
2026-04-01 11:37:49.927,192.168.0.100,5006,audio,24.746
2026-04-01 11:37:49.929,192.168.0.100,5008,text,24.038
2026-04-01 11:37:49.935,192.168.0.100,5008,text,25.689
2026-04-01 11:37:49.936,192.168.0.100,5004,video,24.438
2026-04-01 11:37:49.937,192.168.0.100,5006,audio,23.759
2026-04-01 11:37:49.940,192.168.0.100,5008,text,24.803
2026-04-01 11:37:49.945,192.168.0.100,5008,text,26.007
2026-04-01 11:37:49.947,192.168.0.100,5006,audio,24.658
2026-04-01 11:37:49.950,192.168.0.100,5008,text,25.856
2026-04-01 11:37:49.955,192.168.0.100,5008,text,25.265
2026-04-01 11:37:49.956,192.168.0.100,5004,video,24.769
2026-04-01 11:37:49.958,192.168.0.100,5006,audio,24.099
2026-04-01 11:37:49.963,192.168.0.100,5008,text,24.735
2026-04-01 11:37:49.967,192.168.0.100,5008,text,25.35
2026-04-01 11:37:49.967,192.168.0.100,5006,audio,23.531
2026-04-01 11:37:49.972,192.168.0.100,5008,text,26.103
2026-04-01 11:37:49.976,192.168.0.100,5004,video,25.24
2026-04-01 11:37:49.977,192.168.0.100,5008,text,25.41
2026-04-01 11:37:49.978,192.168.0.100,5006,audio,25.663
2026-04-01 11:37:49.981,192.168.0.100,5008,text,26.007
2026-04-01 11:37:49.987,192.168.0.100,5008,text,25.747
2026-04-01 11:37:49.988,192.168.0.100,5006,audio,25.277
2026-04-01 11:37:49.992,192.168.0.100,5008,text,24.653
2026-04-01 11:37:49.996,192.168.0.100,5004,video,24.765
2026-04-01 11:37:49.997,192.168.0.100,5008,text,24.464
2026-04-01 11:37:49.998,192.168.0.100,5006,audio,24.387
2026-04-01 11:37:50.002,192.168.0.100,5008,text,25.15
2026-04-01 11:37:50.008,192.168.0.100,5008,text,24.443
2026-04-01 11:37:50.009,192.168.0.100,5006,audio,24.646
2026-04-01 11:37:50.013,192.168.0.100,5008,text,25.858
2026-04-01 11:37:50.016,192.168.0.100,5004,video,24.406
2026-04-01 11:37:50.018,192.168.0.100,5006,audio,24.099
2026-04-01 11:37:50.018,192.168.0.100,5008,text,24.836
2026-04-01 11:37:50.023,192.168.0.100,5008,text,26.344
2026-04-01 11:37:50.029,192.168.0.100,5006,audio,23.444
2026-04-01 11:37:50.029,192.168.0.100,5008,text,25.298
2026-04-01 11:37:50.034,192.168.0.100,5008,text,25.444
2026-04-01 11:37:50.037,192.168.0.100,5004,video,32.697
2026-04-01 11:37:50.039,192.168.0.100,5006,audio,24.422
2026-04-01 11:37:50.039,192.168.0.100,5008,text,25.081
2026-04-01 11:37:50.044,192.168.0.100,5008,text,26.42
2026-04-01 11:37:50.049,192.168.0.100,5006,audio,25.85
2026-04-01 11:37:50.049,192.168.0.100,5008,text,25.917
2026-04-01 11:37:50.055,192.168.0.100,5008,text,24.82
2026-04-01 11:37:50.057,192.168.0.100,5004,video,24.602
2026-04-01 11:37:50.059,192.168.0.100,5006,audio,23.783
2026-04-01 11:37:50.060,192.168.0.100,5008,text,25.64
2026-04-01 11:37:50.065,192.168.0.100,5008,text,25.483
2026-04-01 11:37:50.069,192.168.0.100,5006,audio,25.429
2026-04-01 11:37:50.070,192.168.0.100,5008,text,24.94
2026-04-01 11:37:50.076,192.168.0.100,5008,text,25.836
2026-04-01 11:37:50.077,192.168.0.100,5004,video,22.86
2026-04-01 11:37:50.080,192.168.0.100,5006,audio,25.532
2026-04-01 11:37:50.081,192.168.0.100,5008,text,25.096
2026-04-01 11:37:50.086,192.168.0.100,5008,text,24.631
2026-04-01 11:37:50.090,192.168.0.100,5006,audio,24.821
2026-04-01 11:37:50.091,192.168.0.100,5008,text,24.215
2026-04-01 11:37:50.097,192.168.0.100,5008,text,25.658
2026-04-01 11:37:50.097,192.168.0.100,5004,video,24.575
2026-04-01 11:37:50.100,192.168.0.100,5006,audio,23.913
2026-04-01 11:37:50.102,192.168.0.100,5008,text,25.029
2026-04-01 11:37:50.107,192.168.0.100,5008,text,24.099
2026-04-01 11:37:50.111,192.168.0.100,5006,audio,24.531
2026-04-01 11:37:50.112,192.168.0.100,5008,text,25.159
2026-04-01 11:37:50.117,192.168.0.100,5004,video,25.181
2026-04-01 11:37:50.117,192.168.0.100,5008,text,26.877
2026-04-01 11:37:50.121,192.168.0.100,5006,audio,24.086
2026-04-01 11:37:50.122,192.168.0.100,5008,text,25.954
2026-04-01 11:37:50.128,192.168.0.100,5008,text,25.868
2026-04-01 11:37:50.131,192.168.0.100,5006,audio,25.882
2026-04-01 11:37:50.133,192.168.0.100,5008,text,25.786
2026-04-01 11:37:50.137,192.168.0.100,5004,video,23.55
2026-04-01 11:37:50.138,192.168.0.100,5008,text,25.932
2026-04-01 11:37:50.141,192.168.0.100,5006,audio,26.256
2026-04-01 11:37:50.144,192.168.0.100,5008,text,26.316
2026-04-01 11:37:50.149,192.168.0.100,5008,text,24.832
2026-04-01 11:37:50.151,192.168.0.100,5006,audio,26.682
2026-04-01 11:37:50.154,192.168.0.100,5008,text,25.011
2026-04-01 11:37:50.158,192.168.0.100,5004,video,23.043
2026-04-01 11:37:50.160,192.168.0.100,5008,text,25.059
2026-04-01 11:37:50.162,192.168.0.100,5006,audio,24.288
2026-04-01 11:37:50.164,192.168.0.100,5008,text,25.497
2026-04-01 11:37:50.170,192.168.0.100,5008,text,25.641
2026-04-01 11:37:50.172,192.168.0.100,5006,audio,26.714
2026-04-01 11:37:50.176,192.168.0.100,5008,text,25.435
2026-04-01 11:37:50.178,192.168.0.100,5004,video,23.895
2026-04-01 11:37:50.180,192.168.0.100,5008,text,24.543
2026-04-01 11:37:50.182,192.168.0.100,5006,audio,32.875
2026-04-01 11:37:50.185,192.168.0.100,5008,text,24.766
2026-04-01 11:37:50.190,192.168.0.100,5008,text,24.151
2026-04-01 11:37:50.192,192.168.0.100,5006,audio,25.419
2026-04-01 11:37:50.196,192.168.0.100,5008,text,25.31
2026-04-01 11:37:50.198,192.168.0.100,5004,video,25.039
2026-04-01 11:37:50.201,192.168.0.100,5008,text,25.76
2026-04-01 11:37:50.202,192.168.0.100,5006,audio,24.979
2026-04-01 11:37:50.206,192.168.0.100,5008,text,25.6
2026-04-01 11:37:50.212,192.168.0.100,5008,text,27.19
2026-04-01 11:37:50.213,192.168.0.100,5006,audio,24.227
2026-04-01 11:37:50.218,192.168.0.100,5008,text,25.093
2026-04-01 11:37:50.218,192.168.0.100,5004,video,24.416
2026-04-01 11:37:50.222,192.168.0.100,5008,text,25.765
2026-04-01 11:37:50.223,192.168.0.100,5006,audio,26.434
2026-04-01 11:37:50.227,192.168.0.100,5008,text,24.985
2026-04-01 11:37:50.232,192.168.0.100,5008,text,24.541
2026-04-01 11:37:50.233,192.168.0.100,5006,audio,25.243
