arrival_time,src_ip,port,payload,latency_ms
2026-04-01 12:16:09.016,192.168.0.100,5004,"video",-1
2026-04-01 12:16:09.016,192.168.0.100,5004,"video",-1
2026-04-01 12:16:09.016,192.168.0.100,5004,"video",-1
2026-04-01 12:16:09.016,192.168.0.100,5004,"video",-1
2026-04-01 12:16:09.016,192.168.0.100,5004,"video",-1
2026-04-01 12:16:09.016,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.016,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.016,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.016,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.016,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.016,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.017,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.017,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.017,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.017,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.017,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.017,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.017,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.017,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.017,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.017,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.017,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.017,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.017,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.017,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.017,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.017,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.017,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.017,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.017,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.017,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.017,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.017,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.017,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.018,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.020,192.168.0.100,5004,"video",-1
2026-04-01 12:16:09.021,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.023,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.029,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.031,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.033,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.038,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.040,192.168.0.100,5004,"video",-1
2026-04-01 12:16:09.041,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.044,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.048,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.051,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.053,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.059,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.060,192.168.0.100,5004,"video",-1
2026-04-01 12:16:09.061,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.064,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.069,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.072,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.074,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.079,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.080,192.168.0.100,5004,"video",-1
2026-04-01 12:16:09.082,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.084,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.089,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.092,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.094,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.099,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.101,192.168.0.100,5004,"video",-1
2026-04-01 12:16:09.102,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.104,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.109,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.113,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.114,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.120,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.121,192.168.0.100,5004,"video",-1
2026-04-01 12:16:09.123,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.124,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.129,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.133,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.134,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.139,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.141,192.168.0.100,5004,"video",-1
2026-04-01 12:16:09.143,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.144,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.149,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.153,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.154,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.160,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.161,192.168.0.100,5004,"video",-1
2026-04-01 12:16:09.163,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.165,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.170,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.174,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.175,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.180,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.182,192.168.0.100,5004,"video",-1
2026-04-01 12:16:09.184,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.185,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.190,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.194,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.195,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.200,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.202,192.168.0.100,5004,"video",-1
2026-04-01 12:16:09.204,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.205,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.210,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.215,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.215,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.220,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.222,192.168.0.100,5004,"video",-1
2026-04-01 12:16:09.225,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.225,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.231,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.235,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.236,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.241,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.242,192.168.0.100,5004,"video",-1
2026-04-01 12:16:09.245,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.246,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.251,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.256,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.256,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.261,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.263,192.168.0.100,5004,"video",-1
2026-04-01 12:16:09.266,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.267,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.271,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.276,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.276,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.282,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.282,192.168.0.100,5004,"video",-1
2026-04-01 12:16:09.286,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.287,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.291,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.296,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.297,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.301,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.302,192.168.0.100,5004,"video",-1
2026-04-01 12:16:09.306,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.307,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.312,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.317,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.317,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.322,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.323,192.168.0.100,5004,"video",-1
2026-04-01 12:16:09.327,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.328,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.332,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.337,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.337,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.342,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.343,192.168.0.100,5004,"video",-1
2026-04-01 12:16:09.347,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.347,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.352,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.357,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.358,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.363,192.168.0.100,5004,"video",-1
2026-04-01 12:16:09.363,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.368,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.368,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.373,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.378,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.378,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.383,192.168.0.100,5004,"video",-1
2026-04-01 12:16:09.384,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.388,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.389,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.394,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.398,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.399,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.404,192.168.0.100,5004,"video",-1
2026-04-01 12:16:09.404,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.409,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.410,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.415,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.419,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.420,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.424,192.168.0.100,5004,"video",-1
2026-04-01 12:16:09.425,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.429,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.431,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.436,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.439,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.441,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.444,192.168.0.100,5004,"video",-1
2026-04-01 12:16:09.446,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.450,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.451,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.456,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.460,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.462,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.464,192.168.0.100,5004,"video",-1
2026-04-01 12:16:09.467,192.168.0.100,5008,"text",-1
2026-04-01 12:16:09.470,192.168.0.100,5006,"audio",-1
2026-04-01 12:16:09.472,192.168.0.100,5008,"text",-1
