arrival_time,src_ip,port,payload,latency_ms
2026-04-01 11:17:12.892,192.168.0.100,5004,"video",-1
2026-04-01 11:17:12.893,192.168.0.100,5004,"video",-1
2026-04-01 11:17:12.893,192.168.0.100,5004,"video",-1
2026-04-01 11:17:12.893,192.168.0.100,5004,"video",-1
2026-04-01 11:17:12.893,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:12.893,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:12.893,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:12.893,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:12.893,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:12.893,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:12.893,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:12.893,192.168.0.100,5008,"text",-1
2026-04-01 11:17:12.893,192.168.0.100,5008,"text",-1
2026-04-01 11:17:12.893,192.168.0.100,5008,"text",-1
2026-04-01 11:17:12.893,192.168.0.100,5008,"text",-1
2026-04-01 11:17:12.893,192.168.0.100,5008,"text",-1
2026-04-01 11:17:12.894,192.168.0.100,5008,"text",-1
2026-04-01 11:17:12.896,192.168.0.100,5008,"text",-1
2026-04-01 11:17:12.896,192.168.0.100,5008,"text",-1
2026-04-01 11:17:12.896,192.168.0.100,5008,"text",-1
2026-04-01 11:17:12.896,192.168.0.100,5008,"text",-1
2026-04-01 11:17:12.896,192.168.0.100,5008,"text",-1
2026-04-01 11:17:12.896,192.168.0.100,5008,"text",-1
2026-04-01 11:17:12.896,192.168.0.100,5008,"text",-1
2026-04-01 11:17:12.899,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:12.902,192.168.0.100,5008,"text",-1
2026-04-01 11:17:12.902,192.168.0.100,5008,"text",-1
2026-04-01 11:17:12.905,192.168.0.100,5008,"text",-1
2026-04-01 11:17:12.909,192.168.0.100,5004,"video",-1
2026-04-01 11:17:12.911,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:12.911,192.168.0.100,5008,"text",-1
2026-04-01 11:17:12.916,192.168.0.100,5008,"text",-1
2026-04-01 11:17:12.920,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:12.922,192.168.0.100,5008,"text",-1
2026-04-01 11:17:12.926,192.168.0.100,5008,"text",-1
2026-04-01 11:17:12.929,192.168.0.100,5004,"video",-1
2026-04-01 11:17:12.931,192.168.0.100,5008,"text",-1
2026-04-01 11:17:12.934,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:12.937,192.168.0.100,5008,"text",-1
2026-04-01 11:17:12.940,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:12.942,192.168.0.100,5008,"text",-1
2026-04-01 11:17:12.947,192.168.0.100,5008,"text",-1
2026-04-01 11:17:12.949,192.168.0.100,5004,"video",-1
2026-04-01 11:17:12.950,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:12.953,192.168.0.100,5008,"text",-1
2026-04-01 11:17:12.958,192.168.0.100,5008,"text",-1
2026-04-01 11:17:12.960,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:12.963,192.168.0.100,5008,"text",-1
2026-04-01 11:17:12.968,192.168.0.100,5008,"text",-1
2026-04-01 11:17:12.969,192.168.0.100,5004,"video",-1
2026-04-01 11:17:12.971,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:12.973,192.168.0.100,5008,"text",-1
2026-04-01 11:17:12.978,192.168.0.100,5008,"text",-1
2026-04-01 11:17:12.981,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:12.984,192.168.0.100,5008,"text",-1
2026-04-01 11:17:12.989,192.168.0.100,5004,"video",-1
2026-04-01 11:17:12.989,192.168.0.100,5008,"text",-1
2026-04-01 11:17:12.991,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:12.996,192.168.0.100,5008,"text",-1
2026-04-01 11:17:12.999,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.001,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:13.005,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.009,192.168.0.100,5004,"video",-1
2026-04-01 11:17:13.010,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.011,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:13.015,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.020,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.022,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:13.026,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.030,192.168.0.100,5004,"video",-1
2026-04-01 11:17:13.031,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.032,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:13.036,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.041,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.042,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:13.047,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.050,192.168.0.100,5004,"video",-1
2026-04-01 11:17:13.052,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.052,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:13.057,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.062,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:13.063,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.067,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.070,192.168.0.100,5004,"video",-1
2026-04-01 11:17:13.073,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:13.075,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.078,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.083,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:13.084,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.088,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.090,192.168.0.100,5004,"video",-1
2026-04-01 11:17:13.093,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:13.096,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.100,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.104,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:13.105,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.109,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.110,192.168.0.100,5004,"video",-1
2026-04-01 11:17:13.114,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:13.115,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.120,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.124,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:13.125,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.130,192.168.0.100,5004,"video",-1
2026-04-01 11:17:13.131,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.134,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:13.136,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.141,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.144,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:13.146,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.151,192.168.0.100,5004,"video",-1
2026-04-01 11:17:13.151,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.155,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:13.156,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.162,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.165,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:13.168,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.171,192.168.0.100,5004,"video",-1
2026-04-01 11:17:13.172,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.175,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:13.178,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.183,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.185,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:13.188,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.191,192.168.0.100,5004,"video",-1
2026-04-01 11:17:13.193,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.196,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:13.199,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.204,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.206,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:13.209,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.211,192.168.0.100,5004,"video",-1
2026-04-01 11:17:13.214,192.168.0.100,5008,"text",-1
2026-04-01 11:17:13.216,192.168.0.100,5006,"audio",-1
2026-04-01 11:17:13.220,192.168.0.100,5008,"text",-1
